,Project ID,Drive Time,Tilt,Tilt2,Azimuth,Azimuth2,Azimuth3,Panel QTY,System Rating (kW DC),Inverter Manufacturer,Array Type,Squirrel Screen,Consumption Monitoring,Truss / Rafter,Reinforcements,Rough Electrical Inspection,Interconnection Type,Module Length,Module Width,Module Weight,# of Arrays,# of reinforcement,Roof Type,Attachment Type,Portrait / Landscape,# of Stories,Install Season,Total Direct Time for Project for Hourly Employees (Including Drive Time),Total # of Days on Site,Total # Hourly Empoyees on Site,Estimated # of Salaried Employees on Site,Estimated Salary Hours,Estimated Total Direct Time,Estimated Total # of People on Site
226,303,22,37.5,,138,,,8,3.2,2,0,1,1,1,1,1,0,74.8,40.9,48,1,12,0,7,1,1,1,40.25,1,5,0,0,40.25,5
227,304,25,27,,90,180,,21,9.66,2,0,1,0,0,0,1,0,68,47.4,50,2,0,0,0,0,1,1,49.5,2,5,0,0,49.5,5
228,305,28,35,,90,,,20,8,2,0,0,0,0,0,1,0,74.8,40.9,48,1,0,0,0,2,2,2,29.25,1,3,0,0,29.25,3
229,306,13,37,23,90,180,,33,13.53,2,0,1,0,0,0,1,2,69.37,44.65,47,2,0,0,0,0,1,2,89.5,2,5,0,0,89.5,5
230,307,30,18,,302,213,,26,10.4,2,0,1,1,0,0,0,0,74.8,40.9,48,3,0,0,0,0,2,1,38.5,1,4,0,0,38.5,4
231,308,12,37,,180,,,14,5.6,2,0,1,0,0,0,1,0,74.8,40.9,48,1,0,0,0,2,2,2,43.5,1,5,0,0,43.5,5
232,309,18,11,,181,,,18,7.2,2,0,1,0,0,0,1,0,74.8,40.9,48,2,0,0,0,0,2,1,42.25,1,5,0,0,42.25,5
233,310,8,22,36,138,228,,10,4,2,0,1,1,0,0,1,0,74.8,40.9,48,3,0,0,7,0,1,1,30,1,4,0,0,30,4
234,311,31,18.4,,189,99,,26,10.14,2,0,1,1,0,0,0,0,69.06,43.15,46.3,2,0,0,0,0,1,2,27.5,1,3,0,0,27.5,3
235,312,9,19.3,,180,90,,17,6.8,2,0,0,1,1,1,1,9,74.8,40.9,48,2,16,1,2,0,1,2,46.5,1,5,0,0,46.5,5
236,313,47,22,,260,,,16,6.4,2,0,1,1,,0,0,2,74.8,40.9,48,1,0,0,7,0,1,2,39.5,1,5,0,0,39.5,5
237,314,19,26,,208,116,,22,8.8,2,0,1,1,0,0,0,2,74.8,40.9,48,2,0,0,7,0,1,2,44.75,2,5,0,0,44.75,5
238,315,21,33.7,,160,,,26,10.66,2,0,1,1,0,0,0,7,69.37,44.65,47,1,0,0,0,0,2,2,59.5,2,4,0,0,59.5,4
239,316,8,18,,180,,,14,5.6,2,0,1,1,1,1,1,4,74.8,40.9,48,1,8,0,0,0,1,2,56.25,2,6,0,0,56.25,6
240,317,26,27,,221,,,12,4.8,2,0,1,0,0,0,1,0,74.8,40.9,48,2,0,0,0,0,1,1,26,1,5,0,0,26,5
241,318,26,27,,271,,,12,4.8,2,0,1,0,0,0,1,0,74.8,40.9,48,1,0,0,0,0,1,1,26.25,1,3,0,0,26.25,3
242,319,26,27,,125,,,12,4.8,2,0,1,0,0,0,1,2,74.8,40.9,48,1,0,0,0,0,1,1,26.25,1,5,0,0,26.25,5
243,320,27,27,,146,,,12,4.8,2,0,1,0,0,0,1,0,74.8,40.9,48,1,0,0,0,0,1,1,26.25,1,2,0,0,26.25,2
244,321,25,26,,180,,,20,8.4,2,0,1,1,0,0,0,0,73.4,40.9,47.8,4,0,0,0,2,2,2,38.5,2,5,0,0,38.5,5
245,322,24,18,27,179,269,,28,12.88,2,0,1,1,1,0,1,0,68,47.4,50,3,0,0,0,1,1,3,55,2,5,0,0,55,5
246,323,22,18,,90,180,,26,10.66,2,0,1,1,1,1,1,0,69.37,44.65,47,2,2,0,0,0,1,1,52,1,5,0,0,52,5
247,324,27,27,,220,140,220,42,16.17,2,0,1,0,0,0,0,6,79.06,39.45,49.6,4,0,0,6,0,1,2,83.5,2,5,0,0,83.5,5
248,325,24,14,,280,100,,31,11.94,2,0,1,0,0,0,0,5,79.06,39.45,49.6,3,0,0,0,0,2,2,76.75,3,5,0,0,76.75,5
