,Project ID,Drive Time,Tilt,Tilt2,Azimuth,Azimuth2,Azimuth3,Panel QTY,System Rating (kW DC),Inverter Manufacturer,Array Type,Squirrel Screen,Consumption Monitoring,Truss / Rafter,Reinforcements,Rough Electrical Inspection,Interconnection Type,Module Length,Module Width,Module Weight,# of Arrays,# of reinforcement,Roof Type,Attachment Type,Portrait / Landscape,# of Stories,Install Season,Total Direct Time for Project for Hourly Employees (Including Drive Time),Total # of Days on Site,Total # Hourly Empoyees on Site,Estimated # of Salaried Employees on Site,Estimated Salary Hours,Estimated Total Direct Time,Estimated Total # of People on Site
62,67,40,31,,180,,,20,7.6,2,0,0,,0,0,0,0,68.5,41.02,40.8,1,0,0,0,0,1,2,25.5,1,3,3,25.5,51,6
63,68,24,16,,180,,,12,4.38,2,0,1,,1,1,0,0,69.37,40.91,44.09,1,7,0,0,0,2,3,29.41666667,2,3,3,29.41666667,58.83333333,6
64,69,27,22.6,,90,180,270,21,7.77,2,0,0,,0,0,1,0,70.67,39.98,41.9,4,0,0,0,0,2,2,27,2,3,3,27,54,6
65,70,32,18,,180,,,36,13.32,2,0,0,,0,0,0,0,70.67,39.98,41.9,1,0,2,3,1,2,3,56.25,3,3,3,56.25,112.5,6
66,71,30,21,,180,,,17,5.61,1,0,0,,0,0,0,0,66.53,39.21,39.7,2,0,0,0,2,2,2,23.41666667,2,3,3,23.41666667,46.83333333,6
67,72,14,26,,200,,,16,5.52,1,0,1,,0,0,1,0,68.8,41.5,44.8,2,0,0,0,0,1,2,33,3,3,3,33,66,6
68,73,26,32,,180,,,14,5.32,2,0,0,,0,0,0,0,70.67,39.98,41.9,1,0,0,1,0,1,2,24.5,1,3,3,24.5,49,6
69,74,15,22.6,,180,,,19,7.22,1,0,1,,0,0,0,1,70.67,39.98,41.9,1,0,0,1,0,1,3,20.25,1,3,3,20.25,40.5,6
70,75,3,24,,200,,,4,1.52,2,0,0,,0,0,1,0,70.67,39.98,41.9,1,0,0,0,0,1,3,20.75,1,3,1,6.916666667,27.66666667,4
71,76,28,30,,210,,,36,13.32,2,0,1,,0,0,1,0,67.8,40,43,1,0,0,0,0,2,3,39,2,2,3,58.5,97.5,5
72,77,39,30,,180,,,14,5.95,1,1,0,,,0,0,0,81.9,40.6,55.1,1,0,4,4,0,0,0,36.41666667,2,3,2,24.27777778,60.69444444,5
73,78,25,,,140,,,18,6.66,2,0,1,,0,0,1,5,67.8,40,43,1,0,0,0,0,1,1,15.5,1,2,2,15.5,31,4
74,79,10,26,,260,80,,28,11.2,2,0,1,,0,0,0,5,71.7,40,45,2,0,0,0,0,1,0,35.25,2,2,2,35.25,70.5,4
75,80,27,,,,,,29,10.73,2,0,1,,1,0,1,4,67.8,40,43,4,0,0,0,0,1,0,36.25,4,2,2,36.25,72.5,4
76,84,44,17,,180,,,15,5.55,2,0,1,,0,0,0,0,67.8,40,43,1,0,0,0,1,1,0,38.08333333,5,3,2,25.38888889,63.47222222,5
77,85,25,37,,155,,,28,10.36,1,0,1,,,0,1,0,67.8,40,43,1,0,0,5,0,1,0,22.08333333,2,1,2,44.16666667,66.25,3
78,87,7,18,,270,180,90,9,3.42,2,0,1,,1,0,1,0,70.67,39.98,41.9,3,0,0,0,0,1,0,24.75,2,2,2,24.75,49.5,4
79,89,13,26.6,,115,,,24,9.12,2,0,1,,0,0,1,1,70.67,39.98,41.9,2,0,0,0,0,1,0,1.5,1,1,2,3,4.5,3
80,90,27,26,,270,90,,11,4.07,1,0,0,,0,0,1,0,69.4,40.8,43,2,0,0,0,0,1,0,14.91666667,2,2,2,14.91666667,29.83333333,4
81,91,25,14,18,180,270,,21,7.98,2,0,0,,0,0,0,2,70.67,39.98,41.9,3,0,0,0,2,1,0,10.5,1,1,2,21,31.5,3
82,92,34,18,,180,,,10,3.7,1,0,0,,0,0,0,11,69.13,40.91,45.19,1,0,0,0,0,1,0,10,1,1,2,20,30,3
83,93,48,18,,145,,,14,5.6,2,0,0,,,0,0,1,71.7,40,45,1,0,2,3,0,2,0,21.6,1,3,2,14.4,36,5
84,94,14,26,,180,,,16,6.4,2,0,1,,0,0,1,0,71.7,40,45,1,0,0,0,0,1,0,29.91666667,3,3,2,19.94444444,49.86111111,5
85,95,92,18,,135,,,20,9,1,0,0,,,0,0,4,82.79,40.94,55.12,1,0,2,3,1,1,0,18.5,1,2,2,18.5,37,4
86,96,21,30,,90,180,270,56,20.72,1,0,1,,0,0,0,4,67.8,40,43,7,0,0,0,0,2,0,43.8,5,1,2,87.6,131.4,3
87,104,21,30,,175,,,24,8.88,2,0,0,,0,0,0,0,68.5,41.01,41.02,1,0,0,0,0,1,0,18.25,1,2,2,18.25,36.5,4
88,112,25,26,,170,260,,26,9.62,2,0,1,,0,0,1,1,69.13,40.91,45.19,2,0,0,0,0,1,1,3.166666667,1,1,2,6.333333333,9.5,3
89,119,29,24,,200,110,,27,10.8,2,0,1,,0,0,0,0,71.7,40,45,3,0,0,0,0,2,1,36.41666667,2,2,2,36.41666667,72.83333333,4
90,160,31,24,,120,210,,37,13.69,2,0,0,1,0,0,0,5,69.4,40.8,43,5,0,0,0,0,2,0,48,3,3,1,16,64,4
91,161,31,30,,180,,,14,5.6,2,0,1,0,1,1,0,6,71.7,40,45,1,1,0,0,0,1,3,14.75,2,2,1,7.375,22.125,3
92,162,22,25,,180,,,21,8.4,2,0,1,1,0,0,0,3,71.7,40,45,2,0,0,0,0,2,0,36.25,2,2,0,0,36.25,2
93,163,23,22,,180,,,18,7.2,2,0,1,1,1,1,0,5,71.7,40,45,1,23,0,0,0,1,3,78.66666667,4,3,1,26.22222222,104.8888889,4
94,164,36,30,,270,,,18,8.1,1,0,1,0,1,0,0,4,82.79,40.94,55.12,4,0,0,0,0,1,0,44.5,3,3,0,0,44.5,3
95,165,31,40,,170,,,26,10.4,2,0,1,1,0,0,0,0,71.7,40,45,3,0,0,0,0,2,2,69.5,2,4,0,0,69.5,4
96,166,30,26,40,260,170,,24,9.36,1,0,1,0,0,0,0,0,69.06,43.15,46.3,3,0,0,0,0,2,0,84,5,4,0,0,84,4
97,167,24,26,,190,,,17,6.63,1,0,0,0,0,0,0,0,69.06,43.15,46.3,1,0,0,0,0,2,0,52.66666667,3,3,0,0,52.66666667,3
98,168,16,34,,205,,,15,5.85,1,0,0,0,0,0,0,3,69.06,43.15,46.3,2,0,0,0,0,1,0,21.25,1,2,0,0,21.25,2
99,169,32,26,,90,,,26,10.4,2,0,1,1,0,0,0,0,71.7,40,45,2,0,0,0,0,2,3,56.5,2,3,1,18.83333333,75.33333333,4
100,170,14,26,,200,,,20,8,2,0,1,1,0,0,0,0,71.7,40,45,2,0,0,0,0,2,3,45.33333333,3,3,0,0,45.33333333,3
101,171,37,30,,180,,,20,9.7,3,1,0,0,,0,0,4,87.2,41.1,64.2,1,0,4,4,1,0,0,83.71666667,2,4,0,0,83.71666667,4
102,172,19,19,,180,,,16,6.4,2,0,1,0,1,0,0,0,71.7,40,45,1,0,0,0,0,2,1,31.58333333,1,4,0,0,31.58333333,4
103,173,56,30,,180,,,48,19.2,3,1,0,0,,0,0,11,74,41.1,48.5,2,0,4,4,0,0,0,141.1,4,4,2,70.55,211.65,6
104,174,36,30,,180,,,9,4.37,1,1,0,0,,0,0,0,87.2,41.1,64.2,1,0,4,4,1,0,0,107.75,3,4,0,0,107.75,4
105,175,43,30,,190,,,9,3.6,1,0,1,0,0,0,0,11,71.7,40,45,1,0,0,0,0,1,0,28.5,1,3,0,0,28.5,3
106,176,42,26,,240,60,,50,24.25,1,0,1,0,0,0,0,4,87.2,41.1,64.2,2,0,0,5,0,1,2,128.5,5,5,2,51.4,179.9,7
107,178,44,40,,180,,,23,8.97,2,0,1,0,0,0,0,0,69.06,43.15,46.3,1,0,0,0,0,1,0,31.25,1,3,0,0,31.25,3
108,179,7,14,,260,,,36,14.4,2,0,1,1,0,0,1,6,71.7,40,45,2,0,0,0,0,1,0,38.75,2,3,0,0,38.75,3
109,180,24,26,,205,,,12,4.68,1,0,1,0,0,0,1,0,69.06,43.15,46.3,2,0,0,0,0,1,0,52.41666667,2,3,0,0,52.41666667,3
110,181,7,30,,180,,,16,6.4,2,0,1,1,0,0,1,0,71.7,40,45,1,0,0,0,0,1,0,34.25,1,5,0,0,34.25,5
111,182,58,40,,165,,,46,18.4,2,0,1,1,0,0,0,0,71.7,40,45,4,0,0,0,0,2,0,91.58333333,3,5,1,18.31666667,109.9,6
112,183,21,20,,100,190,,26,10.14,2,0,1,1,1,1,1,1,69.06,43.15,46.3,3,9,0,0,2,2,0,76.75,4,3,0,0,76.75,3
113,184,13,20,,190,,,20,7.8,2,0,1,0,0,0,0,0,69.06,43.15,46.3,1,0,0,0,0,2,0,24,2,2,1,12,36,3
114,185,9,30,,122,,,18,7.29,2,0,1,1,0,0,1,0,71.7,40,45,1,0,0,0,0,1,1,32.58333333,1,4,0,0,32.58333333,4
115,186,20,27,,180,,,21,8.51,2,0,1,0,0,0,0,0,71.7,40,45,1,0,0,0,0,2,0,32.75,2,2,1,16.375,49.125,3
116,187,28,32,,180,,,45,17.55,1,0,1,0,0,0,0,5,69.06,43.15,46.3,3,0,0,1,0,1,2,75.5,4,4,1,18.875,94.375,5
117,188,25,26,,90,,,24,9.72,2,0,1,1,0,0,0,0,71.7,40,45,1,0,0,0,0,2,0,35.5,2,3,0,0,35.5,3
118,189,21,34,,100,,,18,7.29,2,0,1,0,0,0,0,3,71.7,40,45,1,0,0,0,0,1,0,18.5,1,2,1,9.25,27.75,3
119,190,17,17,,260,,,33,13.37,2,0,1,1,1,0,0,0,71.7,40,45,2,0,0,1,0,2,0,38.75,2,2,0,0,38.75,2
120,191,30,30,35,255,165,,18,7.29,2,0,1,0,0,0,0,0,71.7,40,45,3,0,0,0,0,2,1,46,3,4,0,0,46,4
121,192,21,27,,195,,,18,7.29,2,0,1,0,0,0,0,3,71.7,40,45,1,0,0,0,0,1,1,36.5,1,4,0,0,36.5,4
122,193,14,23,,210,,,26,10.53,2,0,1,0,0,0,0,2,71.7,40,45,1,0,0,0,0,1,1,57.08333333,2,4,0,0,57.08333333,4
123,194,25,30,,180,,,44,23.54,2,1,1,1,,0,0,10,89.69,44.65,70.11,1,0,4,4,1,0,1,195.4166667,5,5,1,39.08333333,234.5,6
124,195,19,30,,180,,,38,15.39,2,0,1,0,0,0,0,0,71.7,40,45,2,0,0,0,0,2,1,125.5833333,4,5,1,25.11666667,150.7,6
125,196,12,17,,180,,,17,6.89,2,0,1,1,0,0,0,0,71.7,40,45,1,0,0,0,0,2,0,24.5,1,3,0,0,24.5,3
126,197,28,27,,90,,,18,7.29,2,0,0,0,0,0,1,0,71.7,40,45,1,0,0,0,0,2,1,38,1,5,0,0,38,5
127,198,14,19,,262,,,20,8.1,2,0,1,1,1,0,0,0,71.7,40,45,1,0,0,0,0,1,1,54.25,2,4,0,0,54.25,4
128,199,62,22.6,,180,,,18,7.29,2,0,0,0,1,0,0,0,71.7,40,45,1,0,1,2,0,2,1,57.66666667,2,5,0,0,57.66666667,5
129,200,63,14,,180,,,15,6.15,2,0,1,0,1,0,0,3,73.4,40.5,45.8,1,0,0,1,1,1,1,48.83333333,1,5,0,0,48.83333333,5
130,201,27,27,,170,,,16,6.48,2,0,1,1,0,0,1,0,71.7,40,45,1,0,0,0,0,1,1,37.58333333,1,5,0,0,37.58333333,5
131,202,41,22.6,,195,,,18,7.29,2,0,1,0,0,0,0,0,71.7,40,45,1,0,0,0,0,2,1,38.41666667,2,5,0,0,38.41666667,5
132,203,36,30,,180,,,20,9,1,1,0,0,,0,0,0,84.06,41.19,68.34,2,0,4,4,0,0,1,104.8333333,3,4,1,26.20833333,131.0416667,5
133,204,28,26.6,,190,,,22,8.91,2,0,1,1,0,0,0,7,71.7,40,45,1,0,0,0,0,1,1,30.5,1,4,0,0,30.5,4
134,205,7,22.6,,90,180,270,28,11.34,2,0,1,1,0,0,1,0,71.7,40,45,3,0,0,0,0,2,1,69.33333333,2,5,0,0,69.33333333,5
135,206,7,18.4,,225,,,6,2.34,2,0,1,0,0,0,1,3,69.06,43.15,46.3,1,0,0,1,0,1,1,58.5,3,5,0,0,58.5,5
136,207,12,22,,180,270,,30,12.15,2,0,0,1,0,0,0,4,71.7,40,45,4,0,1,2,0,2,1,67.66666667,3,5,0,0,67.66666667,5
137,208,23,21,,180,,,8,3.24,2,0,1,0,1,1,1,3,71.7,40,45,1,1,0,5,1,2,1,36,1,4,0,0,36,4
138,209,28,38,,180,,,13,5.07,2,0,1,0,0,0,0,0,69.06,43.15,46.3,1,0,0,0,0,1,1,33.16666667,1,4,0,0,33.16666667,4
139,210,34,18.4,,165,,,30,12.15,2,0,1,1,0,0,0,0,71.7,40,45,2,0,0,5,0,2,1,84.41666667,2,5,0,0,84.41666667,5
140,211,29,26.6,,180,,,20,8.1,2,0,1,1,0,0,0,0,71.7,40,45,1,0,0,0,0,1,1,34.25,1,4,0,0,34.25,4
141,212,24,50,,90,180,270,13,5.27,2,0,1,0,1,1,1,8,71.7,40,45,4,3,0,0,0,2,2,71.25,2,4,0,0,71.25,4
142,213,23,9.5,,0,,,32,12.48,2,0,1,1,,0,1,4,69.06,43.15,46.3,1,0,1,2,0,3,1,67.5,2,4,1,16.875,84.375,5
143,214,29,30,,18,,,48,23.28,1,1,0,0,,0,0,10,87.2,41.1,64.2,2,0,4,4,0,0,2,117,4,4,1,29.25,146.25,5
144,215,28,18,,185,,,25,10.13,2,0,1,1,0,0,0,1,71.7,40,45,1,0,0,0,0,1,1,66.83333333,2,5,0,0,66.83333333,5
145,216,21,26,,180,,,26,10.53,2,0,1,0,0,0,0,0,71.7,40,45,1,0,0,0,0,2,2,36.75,1,4,0,0,36.75,4
146,217,21,26,,180,,,35,14.18,2,0,1,1,0,0,0,8,71.7,40,45,4,0,0,0,0,2,2,78.25,3,4,0,0,78.25,4
147,218,25,18.4,,180,,,26,10.53,2,0,1,1,0,0,0,2,71.7,40,45,3,0,0,0,0,2,2,65.75,2,4,0,0,65.75,4
148,219,23,24,,215,,,6,2.34,2,0,1,0,0,0,0,4,69.06,43.15,46.3,1,0,0,6,0,1,2,73.5,3,4,0,0,73.5,4
149,220,27,24,,180,,,16,6.48,2,0,1,0,0,0,1,5,71.7,40,45,1,0,0,0,0,2,2,35.5,1,4,0,0,35.5,4
150,222,20,30,,160,,,39,15.8,2,0,1,1,0,0,0,4,71.7,40,45,2,0,0,0,0,2,2,70,3,4,0,0,70,4
151,223,28,10,,90,,,18,7.02,2,0,1,0,,0,1,0,69.06,43.15,46.3,1,0,0,5,1,1,2,62.5,3,4,1,15.625,78.125,5
152,224,18,30,,180,90,,20,8.2,2,0,1,0,0,0,0,3,73.4,40.5,45.8,1,0,0,0,2,2,2,37.75,1,4,0,0,37.75,4
153,225,30,27,8,270,180,90,28,11.34,2,0,1,1,0,0,0,0,71.7,40,45,3,0,0,1,0,2,2,58.25,2,4,0,0,58.25,4
154,226,39,33,,165,,,26,10.53,2,0,1,1,0,0,0,0,71.7,40,45,1,0,0,0,0,1,2,27.75,1,4,0,0,27.75,4
155,227,21,30,,135,,,22,8.91,2,0,1,1,1,1,1,6,71.7,40,45,2,11,0,0,0,2,2,56,3,4,0,0,56,4
156,228,51,30,,180,,,20,9.6,1,1,0,0,,0,0,11,87.2,41.1,64.2,1,0,4,4,1,0,2,90.75,3,4,1,22.6875,113.4375,5
157,229,26,17,,165,225,,26,10.53,2,0,1,1,1,1,0,0,71.7,40,45,3,18,0,0,0,1,2,58,3,4,0,0,58,4
158,230,29,27,,180,,,20,7.8,2,0,1,0,1,1,0,0,69.06,43.15,46.3,1,10,0,0,0,1,3,57.25,2,4,0,0,57.25,4
159,231,20,27,,170,,,24,9.36,1,0,1,0,,0,0,0,69.06,43.15,46.3,1,0,0,0,0,1,3,50.75,2,4,0,0,50.75,4
160,232,42,26,,180,,,2,0.74,,0,,,1,1,0,0,70.67,39.98,41.9,1,0,0,0,0,1,2,6,1,1,1,6,12,2
161,233,31,18,,90,,,20,8.1,2,0,1,0,1,1,0,0,71.7,40,45,1,12,0,0,0,1,2,35.25,1,4,0,0,35.25,4
162,238,20,18.4,,180,,,8,3.24,2,0,0,0,,0,1,0,71.7,40,45,1,0,2,3,1,1,2,45,2,4,0,0,45,4
163,239,26,18.4,,180,270,,26,10.53,2,0,1,1,0,0,1,0,71.7,40,45,2,0,0,0,0,1,3,58.75,2,4,0,0,58.75,4
164,240,30,17.5,,180,,,60,24.3,2,0,0,0,,0,0,10,71.7,40,45,1,0,2,3,1,1,1,89.75,3,4,0,0,89.75,4
165,241,40,22.6,,225,,,16,6.48,2,0,0,0,0,0,0,0,71.7,40,45,1,0,1,2,0,1,0,31.25,1,4,0,0,31.25,4
166,242,52,17,,176,86,,40,17.6,1,0,1,0,0,0,0,9,89.69,44.65,57.32,2,0,0,0,0,2,3,71.08333333,4,4,0,0,71.08333333,4
167,244,7,33.7,,180,,,7,2.84,2,0,1,0,1,0,1,0,71.7,40,45,1,0,0,0,0,1,3,29,1,4,0,0,29,4
168,245,27,19,,180,,,18,7.29,2,0,1,0,0,0,1,0,71.7,40,45,3,0,0,0,0,2,3,59.5,2,4,0,0,59.5,4
169,246,30,18,,206,116,,19,7.7,2,0,1,0,1,0,0,3,71.7,40,45,2,0,0,0,0,1,3,34.5,1,4,0,0,34.5,4
170,247,25,18,27,225,135,45,16,7.04,4,0,1,0,0,0,0,0,89.69,44.65,57.32,3,0,0,6,2,2,0,40.66666667,2,4,0,0,40.66666667,4
171,248,25,18,27,225,135,,16,7.04,4,0,1,0,0,0,0,0,89.69,44.65,57.32,2,0,0,6,2,2,0,40.66666667,3,4,0,0,40.66666667,4
172,249,25,18,27,225,135,45,16,7.04,4,0,1,0,0,0,0,0,89.69,44.65,57.32,3,0,0,6,2,2,0,40.66666667,2,4,0,0,40.66666667,4
173,250,25,18,27,225,135,,16,7.04,4,0,1,0,0,0,0,0,89.69,44.65,57.32,2,0,0,6,2,2,0,40.66666667,2,4,0,0,40.66666667,4
174,251,50,22.6,,230,,,36,15.12,1,0,1,0,0,0,0,10,68.1,44,47.4,1,0,0,0,0,3,3,86.75,5,4,0,0,86.75,4
175,252,23,38,,135,225,,13,5.27,2,0,1,1,1,1,1,0,71.7,40,45,3,10,0,7,0,1,0,61.25,2,4,0,0,61.25,4
176,253,9,33,,185,95,,26,10.53,2,0,1,1,0,0,1,3,71.7,40,45,3,0,0,5,2,1,3,58.25,3,4,0,0,58.25,4
177,254,36,27,,200,110,,33,13.37,2,0,1,1,0,0,0,0,71.7,40,45,3,0,0,0,2,2,0,79.25,2,5,0,0,79.25,5
178,255,27,18.4,,180,,,20,8.1,2,0,1,1,0,0,1,0,71.7,40,45,1,0,0,7,0,1,3,33.5,1,4,0,0,33.5,4
179,256,21,35,,180,,,26,10.53,2,0,1,1,0,0,0,8,71.7,40,45,1,0,0,0,0,2,0,70.5,3,3,0,0,70.5,3
180,257,25,24,14,90,180,270,25,10,2,0,1,0,0,0,1,3,74.8,40.9,48,4,0,0,1,2,2,0,62.25,2,4,0,0,62.25,4
181,258,46,18,,220,130,,20,8,2,0,1,1,0,0,0,0,74.8,40.9,48,2,0,0,0,0,2,3,78.25,3,4,1,19.5625,97.8125,5
182,259,18,45,,90,,,18,7.2,2,0,1,0,1,0,1,0,74.8,40.9,48,1,0,0,6,0,1,0,39,2,3,0,0,39,3
183,260,46,10,,185,,,47,18.8,2,0,0,0,0,0,0,10,74.8,40.9,48,1,0,1,2,0,1,0,53.5,2,3,0,0,53.5,3
184,261,27,27,,180,90,,13,5.2,2,0,1,1,0,0,1,3,74.8,40.9,48,2,0,0,0,0,1,0,24,1,3,0,0,24,3
185,262,26,26,,90,180,,12,4.86,2,0,1,0,0,0,1,0,71.7,40,45,2,0,0,6,0,1,0,38,2,4,0,0,38,4
186,263,26,26,,225,,,12,4.86,2,0,1,0,0,0,1,0,71.7,40,45,2,0,0,0,0,1,0,25.25,1,4,0,0,25.25,4
187,264,26,26,,90,180,,12,4.86,2,0,1,0,0,0,1,0,71.7,40,45,3,0,0,6,0,1,3,41,2,3,0,0,41,3
188,265,30,34,,110,200,,31,12.56,2,0,1,1,0,0,1,0,71.7,40,45,3,0,0,0,0,2,0,101.25,6,4,0,0,101.25,4
